,molecular_weight,chemostat_0.5_mean,chemostat_0.35_mean,chemostat_0.2_mean,chemostat_0.12_mean,chemostat_0.5_uncertainty,chemostat_0.35_uncertainty,chemostat_0.2_uncertainty,chemostat_0.12_uncertainty
P0ACN4,29233.2666,133,101,89,69,21.76,7.02,3.93,4.49
P06992,30382.61031,104,78,61,67,10,15.63,14.97,17.83
P0AG00,39445.94306,150,125,97,110,4.62,10.13,4.79,9.32
P32664,29651.80095,83,71,58,46,17.63,5.36,8.26,4.8
P15038,77909.49086,59,50,39,37,4.63,10.44,14.28,11.72
P77756,25479.74638,212,158,142,149,6.83,9.66,22.13,3.78
P75867,65759.22598,42,32,31,31,2.78,0.99,7.65,3.72
P64455,8776.45239,231,190,178,155,17.05,3.76,11.02,10.19
P12998,41550.25394,72,57,46,35,4.49,2.18,18.02,15.13
P0AFF2,43429.29651,271,222,162,120,13.9,22.67,34.25,3.48
P31473,56335.57098,59,48,59,47,29.51,18.49,14.53,15.6
P07109,28617.07416,114,134,136,152,3.45,8.84,13.74,4.93
P0ADS9,26394.56679,103,110,109,100,22.03,9.17,6.97,6.07
P0AFX9,35709.28651,54,57,59,99,4.27,16.37,9.41,7.73
P0C054,15746.08541,399,348,186,113,9.7,6.83,5.24,14.69
P17443,37772.88165,89,62,47,52,22.25,21.06,60.56,33.11
P27829,45791.59224,58,42,32,15,18.09,11.19,31.58,22.18
P0AEE3,37539.88162,119,99,94,88,17.28,1.98,18.16,3.88
P04994,51782.2337,67,59,52,52,5.42,15.38,12.54,3.94
P0AD27,67235.66157,94,95,96,112,13.84,12.6,13.95,3.68
P37643,47159.43524,440,364,330,178,17.64,6.47,15.04,8.5
P0A9L5,10207.4459,1157,949,908,664,9.48,8.2,12.76,3.51
P75830,40580.94339,67,64,85,80,15.35,31.23,25.78,12.65
P0A830,45388.7442,256,403,564,586,8.39,44.1,23.56,24
P0AFX4,18213.43979,363,465,492,344,10.75,11.58,17.14,8.48
P32131,52677.67322,55,54,43,42,13.73,17.21,10.7,12.42
P45800,79421.84741,73,72,70,58,9.55,8.89,24.87,4.22
P0CB39,66549.84405,47,33,24,17,23.83,20.26,16.38,9.85
P0AD10,9098.77479,375,242,181,97,10.74,8.38,16.56,18.32
P0ACB4,21194.86359,143,136,113,64,8.67,2.42,1.41,42.6
P37751,43142.63685,98,80,54,43,6.16,8.36,18.74,12.96
P64554,24995.63713,118,88,72,61,12.92,15.89,4.98,6.04
P0AE22,26069.23615,131,184,196,146,21.44,4.9,13.08,13.64
P20083,70181.74399,41,31,24,22,5.43,5.56,15.58,20.46
P32680,22580.06443,85,76,54,54,13.03,10,18.58,1.35
P28249,68902.09792,47,43,52,48,14.85,3.61,6.11,3.77
P10902,60281.35972,25,17,11,8,30.03,18.27,33.33,25.36
P31802,23542.38514,177,182,151,124,14.08,8.17,10.65,12.82
Q5H772,44682.75437,78,131,50,20,26.21,25.62,12.4,11.47
P39452,80410.27706,25,11,7,4,39.78,17.39,16.31,29.68
P05637,31258.68847,38,40,42,41,24.2,6.14,8.26,11.48
P12295,25659.18035,60,64,50,34,2.32,13.26,16.1,3.86
P76272,94893.78059,32,33,31,31,7.29,6.55,16.69,5.27
P76535,31182.14441,102,132,90,90,2.83,6.92,8.67,7.15
P27303,42691.61954,63,39,18,16,5.37,12.25,32.26,17.85
P28903,79954.12102,64,63,48,41,13.19,9.51,7.05,5.16
P27830,39710.89535,15,13,5,4,26.72,15.17,33.67,47.47
P22524,26939.5778,306,294,224,210,7.98,4.5,7.34,9.42
P10441,42337.17116,29,26,30,31,11.26,1.84,8.56,9.38
P20099,85778.27471,11,9,8,6,28.35,23.87,17.23,10.94
P45395,35155.07892,104,78,67,52,9.02,9.48,22.05,13.71
P75791,47281.55224,38,30,26,19,5.81,8.13,19.81,16.92
P33030,36072.87079,21,21,10,9,14.38,2.76,32.13,23.01
P77569,31284.44117,70,109,88,91,5.12,5,5.54,3.8
P0AE85,18935.33096,98,132,140,129,16.96,5.54,6.03,6.19
P24188,39737.51048,17,7,2,2,16.35,10.67,43.63,12.73
P18775,90323.09785,2,1,1,1,42.22,112.68,44.65,19.7
P39265,32871.13079,48,59,62,73,8.78,14.59,16.8,10.95
P0AAH0,28990.77068,97,66,53,51,10,15.75,23.36,7.56
P0ACE3,8604.45853,43,22,19,17,19.85,20.48,69.48,20.9
P37617,76773.84377,22,10,11,9,35.39,7.43,13.19,14.2
P0AFB5,38514.26871,21,18,27,33,9.21,31.06,23.22,10.69
P77475,20748.53598,32,20,8,10,30.09,35.27,27.62,10.09
P0AD68,63819.49979,16,10,9,5,29.15,13.15,21.82,14.54
P0A6A8,8616.21013,22145,18604,15805,15707,4.99,12.59,7.51,4.82
P0ADZ4,10244.49567,25282,17606,13940,12646,7.89,7.22,5.23,7.78
P64581,11026.85535,11297,11874,13555,15975,4.69,6.21,15.31,2.57
P77717,19401.25324,3361,3462,3629,4357,26.22,11.59,13.84,4.56
P75694,9871.13374,5649,9800,12173,14454,26.98,5.87,5.91,7.96
P0A7M6,7250.97238,31319,23715,16960,14429,6.51,8.41,19.62,2.03
P0A9Y6,7379.75048,50930,41281,33412,26165,6.21,4.08,5.69,5.98
P0ACF4,9201.98388,39205,49778,43029,34675,9.93,16.26,4.17,5.83
P25738,14232.26887,4826,5654,7061,7290,19.99,2.14,8.89,7.94
P0AET2,12016.98866,311,493,567,742,69.69,6.5,7.34,11.5
P0A7L8,9100.87084,15956,9200,7875,6129,14.25,1.95,5.46,1.71
P0A7N9,6349.6092,14514,10496,7894,6106,6.1,0.64,10.94,1.32
P0A7N4,6424.42095,15444,11062,9690,6799,4.89,11.07,13.81,11.96
P0AG63,9680.27267,14762,8697,7063,5297,19.82,4.2,8.78,4.38
P68206,8302.08165,345,399,519,885,15.79,7.59,9.52,7.78
P0AAA1,22933.93416,1308,908,736,556,4.35,9.83,10.02,3.05
P77173,36434.29823,955,1125,965,962,12.98,10.5,12.92,14.51
P0AFX0,10725.60191,1980,2016,1669,2064,11.19,11.82,17.71,7.18
P0AG59,11555.25364,6477,3999,3769,2410,2.23,20.29,36.82,3.97
P0A742,14929.15587,1801,1677,1915,1871,14.38,4.2,10.24,7.12
P0A7L3,13470.66136,5807,3824,2937,2671,10.06,13.88,8.01,7.17
P37128,21717.06677,1704,1263,970,940,5.46,12.76,4.34,10.33
P0A8R0,17331.58603,1028,904,1006,976,1.78,4.77,3.76,1.75
P77454,32864.53833,39,28,20,37,10.39,24.63,10.26,32.83
P0AB55,10577.40472,1745,1557,1330,966,7.03,4.85,4.01,2.26
P0ACX3,11262.77341,3036,2769,2739,2321,2.55,8.42,18.56,2.02
P0AB14,8501.16875,2611,2532,2465,1956,18.04,8.73,5.05,8.75
P69222,8226.3118,2658,2018,1730,1148,6.61,13.2,6.95,5.75
P0AEB7,12467.33865,1397,1128,929,917,2,6.63,0.56,10.75
P0AB38,22483.39362,587,469,406,343,9.4,8.84,25.49,3.63
P0ADZ0,11174.21232,1499,1063,915,698,8.31,12.62,14.56,9.05
P0AF50,13492.97324,418,386,469,539,4.71,10.06,14.14,6.26
P0AB52,12666.68706,1817,1983,1771,1804,24.05,5.46,19.98,10.02
P0AAF6,26986.97225,406,408,365,431,22.49,9,10.49,4.54
P0AB26,20468.68601,323,346,305,259,5.95,12.63,6.12,12.93
P0ADC1,21325.06865,211,194,203,210,10.37,12.11,2.88,3
P10100,37486.83992,223,185,132,107,16.19,12.95,13.82,8.89
P0A972,7440.80325,11566,8889,6804,5641,4.56,2.96,8.62,11.44
P63417,18504.27117,588,581,667,771,8.47,5.24,10.11,11.22
P0A9T4,38457.6131,157,131,137,132,9.13,5.33,5.58,5.22
P0AER0,29742.55109,91,124,124,117,23.58,7.81,25.8,17.94
P0A8I5,27271.69709,267,244,200,187,12.2,2.36,13.07,1.85
P10908,27374.04865,217,234,261,247,3.07,4.73,8.53,11.23
P0ADS2,12568.40402,502,380,279,348,12.27,7.46,0.95,6.02
P0AGG2,31928.35792,170,150,158,160,10.69,1.37,12.83,8.05
P0AB65,10275.2359,295,347,450,550,19.19,9.39,35.78,6.94
P0A6Z6,15066.51645,659,564,507,357,24.41,9.78,25.12,22.86
P37774,27641.8973,297,232,217,214,15.63,9.56,10.3,11.16
P39176,34371.6386,82,97,119,111,14.38,8.14,6.49,4.77
P0A8G9,8928.51546,738,588,571,492,20.01,7.77,22.41,11.34
P0AA91,20889.78297,45,45,99,191,9.13,17.51,3.81,14.05
P32662,27353.99481,469,368,315,240,11.41,5.88,15.19,4.47
P0A8K5,7191.57041,1889,1988,1847,1748,5.33,5.17,16.67,5.17
P0AC84,28398.34858,246,331,301,327,9.75,6.05,18.21,1.07
P0AAN5,7258.62835,263,318,349,382,32.8,10.95,6.8,7.32
P0AGF2,15912.30672,139,100,103,95,6.47,14.83,1.87,11.53
P07762,84265.77174,71,60,63,60,6.54,5.67,11.41,11.12
P0ABU9,25563.37328,278,220,180,162,11.01,5.01,6.59,7.49
P63228,21262.52226,281,248,212,171,5.97,3.16,9.45,13.63
P0AEM0,16052.92141,1022,928,859,560,12.17,15.04,13.15,4.27
P08179,23205.81467,229,203,157,135,8.08,6.66,9.31,4.97
P75915,20693.05671,338,264,180,135,9.47,3.99,15.03,5.53
P23894,31884.55363,422,333,229,215,12.3,6.18,9.08,6.59
P0A8W0,29488.0806,75,54,58,46,10.14,23.73,9.35,15.58
P0A884,30442.15787,293,180,178,106,8.68,10.13,11.73,11.43
P77202,27459.24651,79,70,49,48,8.93,10.28,4.26,11.62
P36929,48299.01648,65,45,40,44,4.75,14.53,11.95,11.2
P0AGE4,43431.39854,382,282,281,289,9.02,12.56,28.45,9.07
P39315,29697.29065,220,170,171,165,16.69,3.48,8.27,3.02
P0A9I3,20737.48421,287,206,213,227,6.21,24.11,18.34,22.89
P0A9E5,27931.33827,496,373,314,198,7.78,3.37,8.27,8.56
P40191,30810.14428,235,183,143,101,10.51,6.54,20.79,7.63
P31433,62216.07131,77,77,90,78,14.93,7.81,9.25,8.47
P76243,13359.93617,261,226,249,149,20.94,13.88,3.21,33.86
P62623,34734.93615,143,123,85,62,1.32,10.71,8.79,13.05
P0ADE4,64738.07628,23,20,20,16,11.88,7.36,6.91,13.03
Q47690,33383.85831,68,60,67,76,5.34,9.12,7.5,5.49
P77376,38215.63903,55,55,49,87,8.66,12.78,15.14,13.35
P76329,30402.39167,46,59,107,156,28.31,25.54,14.86,9.42
P0AAS7,7366.85319,403,288,242,211,0.66,2.39,10.94,4.64
P66817,21074.66913,198,139,128,100,18.42,15.04,17.23,12.94
P18196,24741.87589,101,78,70,54,4.68,17.49,11.87,13.82
P52007,21173.77695,145,135,129,113,4.48,3.45,19.68,3.7
P0ADP2,17133.75136,130,105,91,81,9.82,18.81,24.97,28.76
P0AGI8,50318.37257,67,67,84,84,16.76,26.07,18.13,24.06
P0A7I0,40474.19405,140,115,66,80,30.56,4.04,19.28,17.07
P0AAD6,46856.86755,71,61,52,50,8.89,11.55,9.49,1.28
P0AGB0,35002.29891,86,79,68,41,14.77,12.01,22.83,27.38
P0AE82,51573.93701,48,47,44,57,6.62,2.3,10.47,12.95
P21338,29580.708,48,46,42,43,18.66,15.11,9.19,5.95
P0A725,33916.22523,99,99,123,101,5.66,11.81,11.16,2.16
P0ACV8,9297.38439,258,249,210,184,7.89,7.78,12.89,13.49
P77781,14917.66901,193,168,132,94,16.72,13.18,12.41,6.6
P07117,54290.62984,152,208,161,166,5.13,10.39,19.37,6.5
P0A8J4,9803.11355,3561,3166,2342,2321,14.36,16.84,9.27,13.46
P39310,23472.89561,147,159,155,150,16.32,1.38,12.69,18.39
Q47147,28599.20568,58,55,47,53,5.55,4.89,14.81,5.72
D0EX67,37552.86975,80,63,51,39,0.97,3.4,7.55,19.46
P0A6E1,19120.78656,446,409,282,185,12.84,2.06,14.98,26.85
P0AA89,53126.63208,20,35,35,49,2.53,10.65,18.74,15.84
Q93K97,23634.09928,86,95,108,76,18.84,6.77,6.16,15.34
Q46893,25703.19589,71,58,49,40,2.41,26.32,35.32,14.62
P0A6G3,17552.71915,110,120,116,92,10.9,6.22,3.03,14.05
P0ADV5,37087.72888,44,34,39,26,13.95,21.67,14.6,29.83
P0AAC8,11530.68237,1059,700,436,317,1.32,14.72,13.58,9.13
P24205,37368.31401,64,64,55,62,7.89,8.23,11.98,17.09
P22634,30964.21429,80,77,54,47,16.23,15.03,14.56,5.4
P37765,32673.39599,153,117,103,92,4.77,9.47,9.92,6.19
P0ACL9,29389.36331,61,43,28,29,11.56,22.61,17.33,44.25
P0AE28,24883.21341,89,125,126,102,4.48,19.15,20.47,2.33
P06961,46419.98726,44,48,46,43,24.25,3.89,13.66,2.86
P03018,81920.30694,53,39,43,42,10.1,7.46,6.4,2.63
P64540,9975.83693,249,194,152,130,28.39,14.55,15.3,18.58
P0AEJ6,49353.63876,34,32,36,30,10.34,14.69,17.37,9.06
P0AA82,43603.22932,296,143,62,39,5.59,2.32,13.71,5.38
P0A968,7945.88707,4655,5523,4904,4740,3.09,7.42,32.73,2.66
P0AC51,19223.57739,141,121,120,115,5.5,18.81,3.63,11.86
P0ACR4,32685.2267,60,45,45,37,5.44,8.7,12.28,16.54
P24554,49422.57371,45,40,34,37,9.6,8.45,20.61,6.88
P80668,53647.30106,32,43,44,63,16.55,9.45,12.91,14.46
P67826,26726.4102,47,41,41,35,4.42,12.74,1.41,8.68
P50456,44270.25484,64,97,80,68,5.6,4.96,15.22,1.97
P0ACL5,28790.28432,58,83,57,70,6.53,3.36,1.89,3.48
P0ACZ4,22657.79834,21,11,8,7,33.94,31.17,41.22,15.58
P06960,36785.42997,97,42,69,78,5.34,6.29,4.86,10.19
P10907,39480.50397,52,76,92,123,11.56,9.07,15.38,3.45
P0A6H8,54768.54586,40,30,29,30,10.53,5.29,41.32,14.41
P17117,26765.85039,157,120,86,77,16.74,16.67,4.54,9.15
P25552,54818.60416,32,32,31,20,12.22,23.72,10.46,18.37
P26602,18747.04431,148,118,110,65,11.9,10.27,9.11,4.2
P31131,18291.23947,16,27,53,98,43.81,3.41,5.26,3.88
P76256,25146.67925,47,38,25,19,12.33,7.82,9.03,12.29
P39187,20389.71435,110,147,132,94,24.11,9.54,14.48,0.99
P0A7C6,24536.95979,181,182,144,100,8.01,9.12,5.99,11.02
P16926,39487.79943,36,29,21,21,14.63,7.5,13.33,4.85
P37146,36402.07787,25,30,25,28,30.43,12.21,29.97,19.13
P0AED5,23859.35674,99,65,65,35,14.39,3.32,19.87,13.92
P0AEQ6,24330.54365,134,140,100,86,13.77,10.38,29.26,13.26
P31134,41885.69734,60,54,48,53,0.92,14.87,16.43,14.74
P23367,67863.65578,27,28,27,29,9.15,21.1,24.39,10.18
P32144,28471.68182,58,55,46,60,6.38,11.93,7.85,11.28
P0ADI7,20421.60864,56,71,78,52,33.02,36.97,22.51,41.47
P42588,49611.49687,38,31,23,16,38.66,67.42,66.19,40.97
P0A761,24040.45142,28,45,41,35,19.45,3.29,12.63,6.79
P76086,35254.60123,47,70,65,64,4.11,16.26,13.73,13.79
P33355,17943.51142,21,16,12,18,22.29,8.43,41.25,30.05
P09152,140382.5073,1,1,1,2,64.08,32.3,59.57,38.36
P0ACK2,29536.09198,23,23,22,16,11.63,6.62,9.58,7.11
P13033,45310.44439,8,3,5,2,57.37,8.2,31.24,43.21
P05706,13277.66827,8,7,3,2,36.58,30.47,23.21,40.95
P69922,64916.88897,11,20,19,23,21.97,23.38,21.28,29.31
Q47150,9381.99717,154,136,113,97,12.72,8.58,25.42,8.59
P0C058,16065.15753,25,28,13,15,7.71,28.32,18.73,36.56
P25535,44198.77605,22,19,17,13,18.04,4.43,12.07,12.52
P06720,50606.23389,29,41,43,37,12.75,9.28,14.58,8.42
P76035,42175.50636,60,42,31,22,3.83,14.4,20.35,8.41
P0AF03,21191.02051,34,27,25,20,5.3,37.83,32.22,5.81
P06709,35271.8493,17,14,11,11,20.15,7.85,34.81,10.58
P36771,34553.72226,43,38,37,53,23.51,10.04,10.77,7.56
P0AGJ2,25308.74949,10,6,6,6,44.82,52.32,18.34,35.97
P09833,39059.97064,33,217,264,279,99.22,3.57,15.44,5.95
P25888,49940.79918,2,1,1,1,39.99,51.86,48.59,20.41
P37388,56416.741,0,1,1,1,92.73,28.55,53.97,53.38
P0A7T7,8962.83604,20666,14150,10995,8701,1.71,2.17,1.28,5.01
P38521,12854.35611,2477,2288,2081,2155,11.56,8.03,30.17,0.65
P0AF70,11932.74185,3456,3522,3447,2633,4.69,9.11,1.56,13.63
P0AD33,10292.70137,2153,1914,1568,1424,12.31,15.33,20.85,4.69
P32162,10751.22245,358,285,271,303,1.98,8.2,9.19,10.03
P0ADN6,7154.68883,2199,1892,1538,1413,1.78,6.77,4.64,0.42
P06968,16127.24139,1918,1407,1008,776,3.52,9.15,4.4,5.78
P0AG99,11339.85638,1768,1314,1183,950,5.36,3.67,4.82,2.12
P0AB98,30265.358,2822,2035,1353,1302,20.22,20.15,12.55,6.71
P0AAN9,9913.19326,3431,3439,3158,2633,8.09,19.58,7.1,8.89
P30748,8734.43069,515,237,206,264,26.69,22.39,3.63,15.57
P0A8C4,21198.07347,629,520,448,358,4.02,4.05,6.97,7.61
P64506,12352.45278,427,252,229,200,12.15,13.93,5.59,14.85
P0A7B8,19062.96341,316,336,228,227,19.71,9.41,12.54,10.61
P77695,6525.5481,1615,1551,1153,927,5.46,5.11,12.04,10.68
P09996,13760.1239,524,494,343,582,24.33,13.78,20.91,6.7
P69913,6833.64357,1012,785,729,691,13.65,11.3,7.05,4.15
P64519,8556.08638,75,86,81,164,20.89,16.53,9.84,15.22
P64503,8729.18209,1454,1899,1837,2349,24.59,7.29,0.88,6.3
P0AEW4,30900.59204,171,168,206,271,4.38,17.15,8.03,7.56
P76170,12882.61936,376,384,381,404,16.17,8.03,7.76,11.41
P28248,21217.97047,449,479,444,323,15.9,8.64,10.91,9.15
P76569,13372.08984,1241,956,703,628,4.53,3.01,3.27,6.97
P64624,26785.62808,485,470,408,351,2.99,10.55,7.77,7.75
P0AFC3,16428.6146,1200,933,832,715,9.83,10.13,12.08,4.84
P0ABN5,45702.83333,482,443,399,410,7.58,6.6,7.61,4.53
P0AEL6,34243.99555,68,45,39,36,9.53,13.68,21.7,2.53
P55734,18608.89687,431,439,398,468,16.03,7.03,7.78,10.97
P0C0R7,23302.1049,161,124,111,99,7.42,9.63,5.05,2
P0A9X9,7380.61749,646,448,340,296,1.96,8.07,6.27,8.88
P0ABZ4,19966.50451,212,149,158,123,1.76,5,12.57,6.78
P0AFM4,11660.93151,42,45,58,57,3.96,12.73,12.39,32.37
P0AAZ7,6832.52157,1309,964,939,794,9.26,1.46,12.87,9.42
P0ADA1,23589.14381,176,200,163,175,3.78,0.99,17.41,8.02
P0ADM4,11799.78067,226,231,226,281,22.7,1.32,29.99,12.5
P64602,10655.59462,702,455,430,318,15.64,2.47,13.39,6.28
P31069,46015.20671,38,36,23,15,4.04,17.69,10.46,9.87
P77808,44179.54703,105,94,100,98,3.59,14.39,21.36,2.41
P31678,29138.91131,74,69,73,67,15.48,2.83,5.62,8.54
P0AB61,9361.79711,506,462,406,397,23.15,11.79,30.35,8.47
P64564,21134.83764,317,243,235,191,2.11,7.23,11.27,3.65
P0AFZ1,28606.57847,248,174,103,78,3.56,11.91,19.83,11.07
P15770,29377.13756,103,89,83,73,27.88,7.36,11.82,15.09
P33018,31221.06729,235,193,143,119,4.71,5,10.93,5.12
P0AF98,40313.6055,125,115,113,114,12.75,10.05,6.99,14
P0AEN8,15445.18543,420,399,369,281,14.1,5.56,7.5,17.24
P0AE01,27012.85292,136,111,77,69,4.96,7.6,21.42,5.83
P0A901,19821.07031,69,73,66,67,9.46,2.41,8.7,0.95
P69795,11401.1638,767,996,1004,1024,9.73,5.48,5.56,4.15
P21645,35997.37746,86,69,60,62,7.73,6.69,6.32,15.87
P0AAP3,10293.31707,251,206,187,189,3.49,12.38,13.08,5.13
P69423,28839.23798,303,226,182,175,3.86,11.13,9.88,5.22
P0AAE0,51607.26069,733,880,762,822,14.09,3.86,5.57,3.66
P0AEW6,48400.08147,29,18,9,11,22.06,5.02,32.77,34.05
P0AAG3,26625.89416,93,101,97,83,5.11,10.67,14.06,6.29
P0ABK2,42406.96162,138,132,154,205,10.19,4.35,11.75,2.64
P0C093,22804.05574,94,81,78,51,21.69,6.13,12,14.05
P0A6I9,22589.85479,55,48,44,47,14.23,15.87,12.99,20.29
P0A881,12329.43056,162,151,153,141,6.04,15.15,3.13,7.74
P0A790,13806.94847,307,231,151,93,6.06,3.71,14.83,6.3
P76008,33528.2494,64,77,62,63,6.27,11.31,13.33,10.53
P0AAC4,25866.72353,77,62,63,86,17.51,15.33,9.26,8.61
P76291,36965.07974,86,61,58,65,20.18,15.26,17.81,20.03
P76541,22755.48307,152,136,152,145,17.37,3.46,4.28,7.94
P76034,27567.18184,73,84,71,68,3.82,2.37,13.02,10.68
P0ADC6,39574.75967,108,99,86,92,14.42,14.51,12.86,29.58
P75792,30375.58356,74,33,32,29,16.85,25.84,14.72,2.12
P0AGL7,26943.02532,83,66,63,51,12.85,6.05,14.93,22.42
P23003,41922.20891,56,51,37,28,11.39,5.2,22.04,9.96
P76389,59394.42857,16,12,11,9,9.52,14.06,14.81,18.28
P76507,51431.83983,161,121,86,41,9.18,25.79,10.83,25.4
P25536,21484.15183,73,50,38,27,13.37,9.16,21.57,10.5
P26648,51807.45381,20,14,16,14,15.39,21.99,13.75,18.66
P52095,80520.35879,12,14,17,21,11.74,13.69,10.69,9.86
P22186,17356.92635,136,105,98,112,20.14,3.45,50.79,19.52
P37745,21238.76459,184,165,139,118,5.12,7.79,8.45,7.17
P32099,37884.06634,66,56,40,31,8.92,5.96,2.88,12.69
P0AFW4,14899.54592,505,486,318,215,23.32,17.12,19.79,4.36
P31466,46816.92074,117,103,70,79,4.03,8.03,16.87,3.18
P22729,46221.00501,137,115,104,77,18.67,14.65,12.98,10.84
P40710,25809.50572,51,33,44,52,36.47,22.66,7.4,25.42
P15373,12333.17817,78,57,56,51,16.07,18.89,12.43,11.5
P0AEA8,49901.99833,45,31,31,31,9.75,24.55,21.64,7.37
P77432,57490.04867,12,10,22,58,23.44,5.29,19.83,20.94
P15993,49639.28287,231,162,146,129,8.59,13.45,8.28,19.61
P0AET5,20871.55879,2,2,2,4,95.53,65.26,40.02,31.15
P24178,13573.86528,19,11,12,10,64.5,46.95,77.1,85.52
P13036,85250.95044,1,2,1,1,45.69,66.67,45.87,85.5
P75796,69052.40957,14,11,10,8,9.98,9.39,13.12,1.71
P14900,46925.84164,52,35,28,26,15.15,15.02,10.91,24.89
P23857,11450.0187,282,271,119,102,14.15,6.52,16.32,13.84
P64588,23368.57134,69,49,39,33,16.01,18.47,32.9,10.51
P0ADT2,23446.17182,201,152,126,161,10.69,17.4,6.69,12.95
P39408,28873.01599,7,6,8,8,28.33,36.76,21.88,63.33
P0A7H6,21930.86701,60,29,24,13,21.27,6.87,20.63,15.25
P13857,20649.48074,107,122,114,131,11.26,15.02,11.33,2.23
P75728,42908.03312,43,32,34,38,5.77,18.25,12.76,2.93
P0AC30,38501.30717,61,51,52,53,32.37,17.38,21.76,21.8
P27833,41856.10135,44,37,26,28,13.36,19.77,9.94,5.55
P75779,25494.79515,6,4,4,4,61.97,58.41,40.45,26.99
P06616,33770.76018,35,29,21,19,3.55,11.88,5.21,5.4
P0A921,33124.18765,16,15,14,12,20.99,10.38,9.68,10.96
P36562,36945.23489,62,60,35,31,10.56,6.06,7.81,8.68
P27278,47297.7538,23,20,21,22,23.83,10.34,23.04,11.05
P0AG96,13616.70772,222,154,143,103,9.14,3.59,1.49,17.29
P10443,129804.098,6,6,6,6,11.87,8.07,23.54,5.32
P0AC75,47243.52646,58,34,28,23,32.17,17.21,22,10.08
P76550,29714.05213,40,39,35,35,2.64,7.33,10.07,4.33
P0AG03,20663.96714,41,52,55,45,7.96,17.75,21.63,18.49
P63386,29060.05549,41,38,29,29,22.15,25.55,6.32,9.46
P77504,89256.82047,15,20,19,16,7.68,21.43,29.73,18.33
P26647,27417.49715,85,70,51,38,14.44,3.89,34.54,12.32
P06710,71075.36174,12,9,9,7,7.97,17.97,11.64,9.03
P0AFD4,36176.95551,280,217,167,85,11.62,37.12,34.28,22.9
P0A8I1,15158.94146,70,63,29,29,35.26,49.54,55.38,7.27
P31441,63681.13247,18,22,20,11,18.36,10.89,17.72,28.83
P0A8I8,17312.14939,24,19,15,9,15,14.45,26.28,15.66
P78067,48180.13471,32,36,29,30,25.88,23.28,18.84,17.92
P0ABS5,65505.31306,16,15,15,16,12.19,25.3,11.72,14.29
P77150,31284.10111,44,23,8,6,8.46,12.85,21.25,30.06
P0AED9,53413.30301,17,16,14,10,6.69,6.97,5.8,16.76
P46118,31937.35128,75,88,61,52,12.89,4.86,19.02,4.65
P52119,10764.80442,84,60,65,57,11.41,11.37,26.63,3.99
P24193,35052.30286,9,7,11,16,41.81,58.51,48.49,4.59
P00811,41511.40147,10,7,6,4,10.53,18.74,18.01,10.63
P0AFH2,33403.19892,86,54,40,21,24.67,7.55,18.55,10.47
P0AEV9,17027.3572,12,11,11,11,18.26,28.72,26.6,26.86
P08373,37809.27369,29,23,21,14,18.39,17.46,9.35,5.55
P76149,49668.16816,15,8,13,4,38.01,83.63,60.09,42.92
P0ABZ1,36735.21149,17,28,8,2,22.24,16.72,20.3,39.58
P0A935,40367.13776,14,10,8,6,8.51,14.04,6.98,47.22
P31434,88005.11907,1,1,1,1,36.63,31.86,91.81,30.42
P76115,77194.68595,4,4,1,3,38.92,80.73,69.9,19.21
P39451,35339.05905,28,26,35,25,19.85,6.3,26.47,15.8
P77690,41605.50156,11,12,10,11,33.6,12.11,28.81,5.88
P77171,33362.60678,266,271,194,174,8.92,2.52,6.48,14.67
P05719,51345.41367,19,16,9,8,23.95,14.6,30.63,32.93
P29208,35436.28815,7,5,3,4,21.39,20.11,39.28,13.02
P39160,53527.93264,33,49,55,37,10.16,5.54,4.9,10.52
P36548,31374.88364,64,68,43,46,10.42,9.06,26.86,31.43
P31460,26045.27197,81,80,75,69,26.07,8.87,5.51,21.7
P33941,61495.78074,3,3,2,2,35.61,14.76,48.99,6.36
P33025,32871.36329,61,137,139,68,12.57,5.14,2.15,16.78
P36999,30381.21113,5,4,4,4,15.7,9.92,22.3,4.38
P77181,21293.07482,12,16,15,22,44.03,6.31,24.68,1.53
P39364,29317.84306,0,0,0,33,136.97,22.93,94.8,25.78
P77806,42917.81339,47,30,30,28,16.5,15.58,4.71,5.13
P76220,24091.94259,3,1,1,1,43.03,71.32,113.47,57.96
P11071,67637.38354,22,30,43,61,3.99,31.38,12.32,9.89
P09980,76957.57569,12,11,9,7,15.12,13.82,22.75,6.53
P0ADP7,22120.7998,71,64,66,67,10.73,4.72,8.87,19.22
P76339,50800.08527,4,5,4,5,22.49,40.04,28.44,33.61
P03819,67734.07836,11,10,9,10,8.65,9.54,2.89,24.17
Q47537,34227.12229,5,3,4,5,26.8,15.66,20.84,13.68
P75745,34346.5056,16,18,17,9,18.03,21.36,20.7,21.47
P0A9I8,12258.15819,7,3,5,3,59.98,73.69,28.82,73
P36928,49322.42938,7,3,3,2,34.87,49.31,38.62,18.79
P0AF43,59411.01621,9,5,6,12,19.34,73.03,25.53,27.87
P0ACE0,62433.71435,7,49,41,26,128.03,12.89,13.46,8.1
P0AAS0,18237.49967,59,33,21,31,14.92,19.64,25.23,32.65
P64499,10767.76726,86,16,12,11,11.42,35.31,31.65,77.94
P0AEV4,17597.84797,11,11,6,5,49.82,13.6,66.29,81.31
P0AF26,26414.47486,2,3,3,4,79.45,64.92,103.19,72.04
P0A7E3,23534.17999,5,2,1,1,51.39,25.29,116.54,88
