Entry	Entry name	Protein names	Gene names	Organism	Length	Mass	Gene names  (synonym )	Gene names  (primary )	Gene names  (ORF )	Gene names  (ordered locus )	Cross-reference (Pfam)	Cross-reference (SUPFAM)	Protein families	3D
P34161	YOX1_YEAST	Homeobox protein YOX1	YOX1 YML027W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	385	42,739		YOX1		YML027W	PF00046;	SSF46689;		
P36032	MCH2_YEAST	Probable transporter MCH2	MCH2 YKL221W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	473	52,257		MCH2		YKL221W	PF07690;	SSF103473;	Major facilitator superfamily, Monocarboxylate porter (TC 2.A.1.13) family	
P21965	MCK1_YEAST	Protein kinase MCK1 (EC 2.7.12.1) (Meiosis and centromere regulatory kinase)	MCK1 YPK1 YNL307C N0392	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	375	43,136	YPK1	MCK1	N0392	YNL307C	PF00069;	SSF56112;	Protein kinase superfamily, Ser/Thr protein kinase family	
P24279	MCM3_YEAST	DNA replication licensing factor MCM3 (EC 3.6.4.12) (Minichromosome maintenance protein 3)	MCM3 YEL032W SYGP-ORF23	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	971	107,518		MCM3	SYGP-ORF23	YEL032W	PF00493;PF17855;PF14551;PF17207;	SSF50249;SSF52540;	MCM family	Electron microscopy (23)
P39104	PIK1_YEAST	Phosphatidylinositol 4-kinase PIK1 (PI4-kinase) (PtdIns-4-kinase) (EC 2.7.1.67)	PIK1 YNL267W N0795	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1066	119,923		PIK1	N0795	YNL267W	PF00454;PF11522;	SSF48371;SSF56112;	PI3/PI4-kinase family, Type III PI4K subfamily	NMR spectroscopy (1)
Q12094	TSR3_YEAST	18S rRNA aminocarboxypropyltransferase (EC 2.5.1.-) (20S rRNA accumulation protein 3) (ScTsr3)	TSR3 YOR006C UND313	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	313	35,686		TSR3	UND313	YOR006C	PF04034;PF04068;		TDD superfamily, TSR3 family	
Q99344	UBA3_YEAST	NEDD8-activating enzyme E1 catalytic subunit (EC 6.2.1.64) (RUB1-activating enzyme E1) (Ubiquitin-activating enzyme E1 3) (Ubiquitin-like protein-activating enzyme)	UBA3 YPR066W YP9499.21	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	299	33,278		UBA3	YP9499.21	YPR066W	PF00899;	SSF69572;	Ubiquitin-activating E1 family, UBA3 subfamily	
P0CX57	YA11A_YEAST	Transposon Ty1-A Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]	TY1A-A YARCTy1-1 GAG YAR010C P9659.6d	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	440	49,072	YARCTy1-1 GAG	TY1A-A	P9659.6d	YAR010C	PF01021;			
Q07074	YH007_YEAST	Uncharacterized protein YHR007C-A	YHR007C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	71	8,384				YHR007C-A				
Q3E758	YH048_YEAST	Uncharacterized protein YHL048C-A	YHL048C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	44	5,096				YHL048C-A				
P48569	YD183_YEAST	Uncharacterized protein YDL183C	YDL183C D1293	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	320	37,047			D1293	YDL183C	PF10173;			
Q3E7X8	YE077_YEAST	Y' element ATP-dependent helicase YEL077C (EC 3.6.4.12)	YEL077C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1277	143,092				YEL077C	PF00271;	SSF52540;	Helicase family, Yeast subtelomeric Y' repeat subfamily	
P38740	YHC6_YEAST	Uncharacterized protein YHL026C	YHL026C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	315	35,717				YHL026C	PF10445;			
P40095	YEY8_YEAST	Uncharacterized protein YER158C	YER158C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	573	63,712				YER158C				
Q04408	YD514_YEAST	Uncharacterized protein YDR514C	YDR514C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	483	55,490				YDR514C		SSF53098;		
P47063	YJC7_YEAST	Uncharacterized protein YJL027C	YJL027C J1269	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	138	15,715			J1269	YJL027C				
Q7LHG5	YI31B_YEAST	Transposon Ty3-I Gag-Pol polyprotein (Gag3-Pol3) (Transposon Ty3-2 TYA-TYB polyprotein) [Cleaved into: Capsid protein (CA) (p24); Spacer peptide p3; Nucleocapsid protein p11 (NC); Ty3 protease (PR) (EC 3.4.23.-) (p16); Spacer peptide J; Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (p55); Integrase p52 (IN); Integrase p49 (IN)]	TY3B-I YILWTy3-1 POL YIL082W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1498	172,369	YILWTy3-1 POL	TY3B-I		YIL082W-A	PF17921;PF12384;PF17919;PF00665;PF00078;PF19259;	SSF50630;SSF53098;SSF56672;SSF57756;		Electron microscopy (3)
Q3E806	YO316_YEAST	Uncharacterized protein YOR316C-A	YOR316C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	69	7,832				YOR316C-A				
P53723	YN8B_YEAST	UPF0674 endoplasmic reticulum membrane protein YNR021W	YNR021W N3216	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	404	47,093			N3216	YNR021W	PF07946;		UPF0674 family	
P32843	YME2_YEAST	Mitochondrial escape protein 2 (Protein RNA12)	YME2 PRP12 RNA12 YMR302C YM9952.04C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	850	96,689	PRP12 RNA12	YME2	YM9952.04C	YMR302C	PF10443;PF00076;	SSF54928;	YME2 family	
Q12274	YOR97_YEAST	Uncharacterized protein YOR097C	YOR097C YOR3180c	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	175	19,401			YOR3180c	YOR097C				
Q08974	YP257_YEAST	Uncharacterized membrane protein YPL257W	YPL257W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	193	22,197				YPL257W	PF15701;			
Q06070	YL407_YEAST	Uncharacterized protein YLR407W	YLR407W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	228	25,546				YLR407W	PF13259;			
P47090	YJY5_YEAST	Uncharacterized endoplasmic reticulum membrane protein YJR015W	YJR015W J1448	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	510	58,117			J1448	YJR015W	PF12051;			
P47075	VTC4_YEAST	Vacuolar transporter chaperone 4 (Phosphate metabolism protein 3)	VTC4 PHM3 YJL012C J1345	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	721	83,155	PHM3	VTC4	J1345	YJL012C	PF02656;PF09359;		VTC4 family	X-ray crystallography (8)
Q03631	WAR1_YEAST	Weak acid resistance protein 1	WAR1 YML076C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	944	107,561		WAR1		YML076C		SSF57701;		
Q3E762	YB230_YEAST	Putative uncharacterized protein YBR230W-A	YBR230W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	66	7,615				YBR230W-A				
Q8TGK0	YH1E_YEAST	Putative uncharacterized protein YHR214C-E	YHR214C-E	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	99	11,600				YHR214C-E				
P53155	YGI2_YEAST	Uncharacterized protein YGL082W	YGL082W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	381	43,321				YGL082W	PF04424;			X-ray crystallography (1)
Q04210	YET2_YEAST	Endoplasmic reticulum transmembrane protein 2	YET2 YMR040W YM9532.05	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	160	19,178		YET2	YM9532.05	YMR040W	PF05529;		BCAP29/BCAP31 family	
Q12173	YG31A_YEAST	Transposon Ty3-G Gag polyprotein (Gag3) (Transposon Ty3-1 protein A) (TY3A) [Cleaved into: Capsid protein (CA) (p24); Spacer peptide p3; Nucleocapsid protein p9 (NC) (NCp9) (p7)]	TY3A-G YGRWTy3-1 GAG YGR109W-A G5982	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	290	34,027	YGRWTy3-1 GAG	TY3A-G	G5982	YGR109W-A	PF19259;	SSF57756;		
P53216	YG1H_YEAST	Uncharacterized protein YGR025W	YGR025W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	100	11,711				YGR025W				
P38870	YHY2_YEAST	Uncharacterized protein YHR182W	YHR182W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	785	90,109				YHR182W	PF00620;	SSF48350;		
Q6Q5X2	YD34B_YEAST	Cysteine-rich and transmembrane domain-containing protein YDR034W-B	YDR034W-B	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	51	5,966				YDR034W-B	PF12734;		CYSTM1 family	
P38276	YBY7_YEAST	UPF0303 protein YBR137W	YBR137W YBR1013	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	179	20,454			YBR1013	YBR137W	PF03928;	SSF143744;	UPF0303 family	X-ray crystallography (1)
Q3E7Z9	YO038_YEAST	Uncharacterized protein YOL038C-A	YOL038C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	31	3,621				YOL038C-A				
P18961	YPK2_YEAST	Serine/threonine-protein kinase YPK2/YKR2 (EC 2.7.11.1)	YPK2 YKR2 YMR104C YM9718.03C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	677	76,664	YKR2	YPK2	YM9718.03C	YMR104C	PF00069;PF00433;	SSF56112;	Protein kinase superfamily, AGC Ser/Thr protein kinase family, RAC subfamily	
P53049	YOR1_YEAST	Oligomycin resistance ATP-dependent permease YOR1 (ABC transporter YOR1) (ABC-type Cd(2+) transporter) (EC 7.2.2.2) (ABC-type glutathione-S-conjugate transporter) (EC 7.6.2.3) (Yeast oligomycin resistance protein 1)	YOR1 YRS1 YGR281W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1477	166,728	YRS1	YOR1		YGR281W	PF00664;PF00005;	SSF52540;SSF90123;	ABC transporter superfamily, ABCC family, Conjugate transporter (TC 3.A.1.208) subfamily	
P32939	YPT7_YEAST	Ypt/Rab-type GTPase YPT7 (Vacuolar morphology protein 4)	YPT7 VAM4 YML001W YM8270.02	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	208	23,043	VAM4	YPT7	YM8270.02	YML001W	PF00071;	SSF52540;	Small GTPase superfamily, Rab family	X-ray crystallography (5)
Q12484	YO343_YEAST	Uncharacterized protein YOR343C	YOR343C O6287	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	108	12,176			O6287	YOR343C				
Q3E807	YO011_YEAST	Uncharacterized protein YOR011W-A	YOR011W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	68	8,638				YOR011W-A				
Q08995	YP204_YEAST	Y' element ATP-dependent helicase YPR204W (EC 3.6.4.12)	YPR204W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1032	115,156				YPR204W	PF00271;	SSF52540;	Helicase family, Yeast subtelomeric Y' repeat subfamily	
Q08909	YO385_YEAST	Uncharacterized protein YOR385W	YOR385W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	290	34,064				YOR385W				
P0C2J0	YP13B_YEAST	Transposon Ty1-PR2 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	TY1B-PR2 YPRWTy1-3 POL YPR158W-B P9584.3c	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1756	198,639	YPRWTy1-3 POL	TY1B-PR2	P9584.3c	YPR158W-B	PF00665;PF07727;PF01021;	SSF53098;SSF56672;		
Q03080	YP039_YEAST	Uncharacterized protein YPL039W	YPL039W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	316	36,115				YPL039W				
P0CX73	YP11A_YEAST	Transposon Ty1-PL Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]	TY1A-PL YPLWTy1-1 GAG YPL257W-A P0725	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	440	48,953	YPLWTy1-1 GAG	TY1A-PL	P0725	YPL257W-A	PF01021;			
Q06479	YL352_YEAST	F-box protein YLR352W	YLR352W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	807	93,123				YLR352W				
P40308	TGL3_YEAST	Triacylglycerol lipase 3 (EC 3.1.1.3) (Lipase 3)	TGL3 YMR313C YM9924.05C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	642	73,613		TGL3	YM9924.05C	YMR313C	PF11815;PF01734;	SSF52151;		
Q03640	TCB3_YEAST	Tricalbin-3	TCB3 YML072C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1545	171,076		TCB3		YML072C	PF00168;	SSF49562;	Tricalbin family	
Q02648	TRM44_YEAST	tRNA (uracil-O(2)-)-methyltransferase (EC 2.1.1.211) (tRNA(Ser) (uridine(44)-2'-O)-methyltransferase) (tRNA Um(44) 2'-O-methyltransferase)	TRM44 YPL030W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	567	64,855		TRM44		YPL030W	PF07757;		TRM44 family	
Q06696	VPS36_YEAST	Vacuolar protein-sorting-associated protein 36 (ESCRT-II complex subunit VPS36)	VPS36 GRD12 VAC3 VPL11 YLR417W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	566	64,018	GRD12 VAC3 VPL11	VPS36		YLR417W	PF04157;PF16988;PF11605;	SSF46785;SSF90209;	VPS36 family	X-ray crystallography (4)
P40547	VID28_YEAST	Vacuolar import and degradation protein 28 (Glucose-induced degradation protein 5)	VID28 GID5 YIL017C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	921	105,491	GID5	VID28		YIL017C		SSF48371;		Electron microscopy (2)
Q3E7Y4	YB112_YEAST	Putative uncharacterized helicase-like protein YBL112C	YBL112C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	105	11,974				YBL112C	PF00271;	SSF52540;	Helicase family, Yeast subtelomeric Y' repeat subfamily	
Q3E776	YB255_YEAST	Uncharacterized protein YBR255C-A	YBR255C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	120	13,741				YBR255C-A				
Q8TGU8	YB071_YEAST	Uncharacterized protein YBL071C-B	YBL071C-B	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	32	3,853				YBL071C-B				
Q6Q5P6	YH41A_YEAST	Transposon Ty4-H Gag polyprotein (TY4A) (Transposon Ty4 protein A)	TY4A-H YHLWTy4-1 GAG YHL009W-A YHL008W-B	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	413	48,214	YHLWTy4-1 GAG	TY4A-H	YHL008W-B	YHL009W-A				
P38799	YHN8_YEAST	Uncharacterized protein YHR078W	YHR078W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	552	63,331				YHR078W	PF12430;PF12537;			
Q07530	YD114_YEAST	Uncharacterized oxidoreductase YDL114W (EC 1.-.-.-)	YDL114W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	308	34,295				YDL114W	PF00106;	SSF51735;	Short-chain dehydrogenases/reductases (SDR) family	
Q3E7Z7	YD003_YEAST	Uncharacterized protein YDR003W-A	YDR003W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	40	4,843				YDR003W-A				
P43622	YFM4_YEAST	Uncharacterized protein YFR054C	YFR054C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	192	20,459				YFR054C				
Q8TGU0	YG007_YEAST	Uncharacterized protein YGL007C-A	YGL007C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	28	3,169				YGL007C-A				
Q2V2Q0	YD007_YEAST	Putative uncharacterized protein YDL007C-A	YDL007C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	85	9,633				YDL007C-A				
Q07555	YD129_YEAST	Uncharacterized protein YDL129W	YDL129W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	291	32,916				YDL129W				
Q07454	YD073_YEAST	UPF0592 protein YDL073W	YDL073W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	984	113,891				YDL073W	PF08578;		UPF0592 family	
Q02598	YI014_YEAST	Uncharacterized protein YIL014C-A	YIL014C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	104	11,664				YIL014C-A				
P40103	YE18_YEAST	Uncharacterized protein YER188W	YER188W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	239	27,312				YER188W				
P32329	YPS1_YEAST	Aspartic proteinase 3 (EC 3.4.23.41) (Proprotein convertase) (Yapsin-1) [Cleaved into: Aspartic proteinase 3 subunit alpha; Aspartic proteinase 3 subunit beta]	YPS1 YAP3 YLR120C L2961 L9233.9	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	569	60,010	YAP3	YPS1	L2961 L9233.9	YLR120C	PF00026;	SSF50630;	Peptidase A1 family	
Q08930	YP191_YEAST	Ubiquitin carboxyl-terminal hydrolase MIY1 (EC 3.4.19.12) (Deubiquitinating enzyme MIY1)	YPL191C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	360	41,032				YPL191C	PF04424;		MINDY deubiquitinase family, FAM63 subfamily	
Q3E7Y7	YO293_YEAST	Uncharacterized protein YOR293C-A	YOR293C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	49	6,124				YOR293C-A				
P26725	YUR1_YEAST	Probable mannosyltransferase YUR1 (EC 2.4.1.-)	YUR1 YJL139C J0657	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	428	50,836		YUR1	J0657	YJL139C	PF01793;	SSF53448;	Glycosyltransferase 15 family	
Q08980	YP264_YEAST	Probable transport protein YPL264C	YPL264C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	353	39,703				YPL264C	PF00892;			
Q07927	YL012_YEAST	Uncharacterized protein YLR012C	YLR012C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	99	12,079				YLR012C				
P47147	YMR1_YEAST	Phosphoinositide 3-phosphatase (EC 3.1.3.64) (Yeast myotubularin-related protein 1)	YMR1 YJR110W J2007	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	688	80,152		YMR1	J2007	YJR110W	PF06602;	SSF52799;	Protein-tyrosine phosphatase family, Non-receptor class myotubularin subfamily	
Q05948	YL225_YEAST	Uncharacterized SVF1-like protein YLR225C	YLR225C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	407	46,423				YLR225C	PF08622;PF17187;		SVF1 family	
Q07895	YL001_YEAST	FAS1 domain-containing protein YLR001C	YLR001C L1388	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	862	97,618			L1388	YLR001C	PF02469;	SSF82153;		
Q12531	YP015_YEAST	Zinc finger protein YPR015C	YPR015C LPZ14c	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	247	27,775			LPZ14c	YPR015C	PF00096;	SSF57667;		
Q3E7A0	YK106_YEAST	Uncharacterized protein YKL106C-A	YKL106C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	39	4,678				YKL106C-A				
Q06235	YL162_YEAST	Protein YLR162W	YLR162W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	118	13,055				YLR162W				
P35995	YKW2_YEAST	Uncharacterized transcriptional regulatory protein YKL222C	YKL222C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	705	82,248				YKL222C	PF04082;PF00172;	SSF57701;		
Q8TGT1	YL406_YEAST	Uncharacterized protein YLR406C-A	YLR406C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	49	5,810				YLR406C-A				
Q3E813	YL154_YEAST	Uncharacterized protein YLR154C-G	YLR154C-G smORF421	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	49	6,045			smORF421	YLR154C-G				
P28320	YJU2_YEAST	Splicing factor YJU2	YJU2 CWC16 YKL095W YKL442	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	278	32,312	CWC16	YJU2	YKL442	YKL095W	PF04502;		CWC16 family, YJU2 subfamily	Electron microscopy (6)
P38360	ATU1_YEAST	P-type cation-transporting ATPase (EC 7.2.2.21) (Cadmium resistance protein 2) (Cadmium-translocating P-type ATPase) (Cd(2+)-exporting ATPase)	PCA1 CAD2 PAY2 YBR295W YBR2112	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1216	131,875	CAD2 PAY2	PCA1	YBR2112	YBR295W		SSF55008;SSF56784;SSF81653;SSF81665;	Cation transport ATPase (P-type) (TC 3.A.3) family, Type IB subfamily	
P32943	CGS6_YEAST	S-phase entry cyclin-6	CLB6 YGR109C G5970	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	380	44,145		CLB6	G5970	YGR109C	PF02984;PF00134;	SSF47954;	Cyclin family, Cyclin AB subfamily	
Q07843	IRC19_YEAST	Increased recombination centers protein 19 (Respiratory growth protein 4)	IRC19 RRG4 YLL033W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	230	27,378	RRG4	IRC19		YLL033W			IRC19 family	
P32486	KRE6_YEAST	Beta-glucan synthesis-associated protein KRE6 (Killer toxin-resistance protein 6)	KRE6 CWH48 YPR159W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	720	80,123	CWH48	KRE6		YPR159W	PF03935;	SSF49899;	SKN1/KRE6 family	
Q07887	LDB18_YEAST	Protein LDB18 (Low dye-binding protein 18)	LDB18 YLL049W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	179	20,847		LDB18		YLL049W				
P22855	MAN1_YEAST	Alpha-mannosidase (EC 3.2.1.24) (Alpha-D-mannoside mannohydrolase)	AMS1 YGL156W G1861	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1083	124,499		AMS1	G1861	YGL156W	PF09261;PF17677;PF07748;PF01074;	SSF74650;SSF88688;SSF88713;	Glycosyl hydrolase 38 family	Electron microscopy (1)
Q04533	METX_YEAST	Putative cystathionine gamma-synthase YML082W (EC 2.5.1.48) (O-succinylhomoserine (thiol)-lyase)	YML082W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	649	74,313				YML082W	PF01053;	SSF53383;	Trans-sulfuration enzymes family, MET7 subfamily	
P36066	MGR3L_YEAST	Protein MRG3-like	YKL133C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	463	54,488				YKL133C			MGR3 family	
Q04341	MIX14_YEAST	Mitochondrial intermembrane space cysteine motif-containing protein MIX14 (Mitochondrial intermembrane space CX(n)C motif protein of 14 kDa)	MIX14 MIC14 YDR031W YD9673.01	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	121	13,866	MIC14	MIX14	YD9673.01	YDR031W	PF16860;			
P41940	MPG1_YEAST	Mannose-1-phosphate guanyltransferase (EC 2.7.7.13) (ATP-mannose-1-phosphate guanylyltransferase) (GDP-mannose pyrophosphorylase) (NDP-hexose pyrophosphorylase)	PSA1 MPG1 SRB1 VIG9 YDL055C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	361	39,566	MPG1 SRB1 VIG9	PSA1		YDL055C	PF00132;PF00483;	SSF53448;	Transferase hexapeptide repeat family	
P25846	MSH1_YEAST	DNA mismatch repair protein MSH1, mitochondrial (MutS protein homolog 1)	MSH1 YHR120W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	959	109,409		MSH1		YHR120W	PF01624;PF05188;PF05192;PF00488;	SSF48334;SSF52540;SSF53150;SSF55271;	DNA mismatch repair MutS family	
P40965	MSH4_YEAST	MutS protein homolog 4	MSH4 YFL003C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	878	99,225		MSH4		YFL003C	PF05188;PF05192;PF05190;PF00488;	SSF48334;SSF52540;SSF53150;	DNA mismatch repair MutS family	
P32335	MSS51_YEAST	Protein MSS51, mitochondrial (Mitochondrial splicing suppressor protein 51)	MSS51 YLR203C L8167.17	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	436	50,880		MSS51	L8167.17	YLR203C	PF13824;		MSS51 family	
P36157	MSA2_YEAST	Putative transcriptional activator MSA2 (MBF and SBF-associated protein 2)	MSA2 YKR077W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	363	39,862		MSA2		YKR077W				
P38849	MTC6_YEAST	Maintenance of telomere capping protein 6	MTC6 YHR151C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	526	59,818		MTC6		YHR151C			MTC6 family	
P53869	MRX7_YEAST	MIOREX complex component 7 (Mitochondrial organization of gene expression protein 7)	MRX7 YNL211C N1328	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	86	10,648		MRX7	N1328	YNL211C	PF10906;			
P33201	MRT4_YEAST	Ribosome assembly factor MRT4 (mRNA turnover protein 4)	MRT4 YKL009W YKL160	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	236	27,058		MRT4	YKL160	YKL009W	PF00466;PF17777;	SSF160369;	Universal ribosomal protein uL10 family	Electron microscopy (18)
P40959	MVP1_YEAST	Sorting nexin MVP1	MVP1 YMR004W YM8270.06	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	511	59,657		MVP1	YM8270.06	YMR004W	PF00787;PF19566;	SSF64268;	Sorting nexin family	Electron microscopy (1)
