DBID	Systematic_name	Organism	Standard_name	Gene_name	Abundance_median	Abundance_SD	Molecular_weight
S000005424	YOL063C	S. cerevisiae	CRT10	Constitutive RNR Transcription regulators	374	313	109690.7
S000005425	YOL064C	S. cerevisiae	MET22	METhionine requiring	9974	2329	39141.6
S000005426	YOL065C	S. cerevisiae	INP54	INositol polyphosphate 5-Phosphatase	1422	649	43800.4
S000005427	YOL066C	S. cerevisiae	RIB2	RIBoflavin biosynthesis	2071	691	67027.6
S000005428	YOL067C	S. cerevisiae	RTG1	ReTroGrade regulation	4876	2069	19015.3
S000005429	YOL068C	S. cerevisiae	HST1	Homolog of SIR Two (SIR2)	1277	408	57710.7
S000005430	YOL069W	S. cerevisiae	NUF2	NUclear Filament-containing protein	2429	560	52939.4
S000005431	YOL070C	S. cerevisiae	NBA1	Nap1p and Bud neck Associated	3091	895	55917
S000005432	YOL071W	S. cerevisiae	SDH5	Succinate DeHydrogenase	3491	1244	19045
S000005433	YOL072W	S. cerevisiae	THP1	Tho2/Hpr1 Phenotype	1358	474	52685.7
S000005434	YOL073C	S. cerevisiae	DSC2	Defective for SREBP Cleavage	1189	324	35763.5
S000005435	YOL075C	S. cerevisiae			651	407	145068.8
S000005436	YOL076W	S. cerevisiae	MDM20	Mitochondrial Distribution and Morphology	5693	1503	92811.6
S000005437	YOL077C	S. cerevisiae	BRX1	Xenopus laevis Brix (Biogenesis of Ribosomes in Xenopus) homolog	10163	2218	33540.8
S000005438	YOL078W	S. cerevisiae	AVO1	Adheres VOraciously (to TOR2)	769	508	131367.3
S000005439	YOL079W	S. cerevisiae					15097.3
S000005440	YOL080C	S. cerevisiae	REX4	Rna EXonuclease	3192	1097	32916.5
S000005441	YOL081W	S. cerevisiae	IRA2	Inhibitory Regulator of the RAS-cAMP pathway	1537	635	351650.8
S000005442	YOL082W	S. cerevisiae	ATG19	AuTophaGy related	1152	269	47573.5
S000005443	YOL083W	S. cerevisiae	ATG34	AuTophaGy related	1077	595	46645.4
S000005444	YOL084W	S. cerevisiae	PHM7	PHosphate Metabolism	1076	289	112558.9
S000005445	YOL085C	S. cerevisiae					12789.8
S000005446	YOL086C	S. cerevisiae	ADH1	Alcohol DeHydrogenase	103727	63773	36845.5
S000005447	YOL087C	S. cerevisiae	DUF1	DUB-associated Factor 1	2821	995	125370.5
S000005448	YOL088C	S. cerevisiae	MPD2	Multicopy suppressor of PDI1 deletion	5373	676	32398.4
S000005449	YOL089C	S. cerevisiae	HAL9	HALotolerance	1074	588	117929.9
S000005450	YOL090W	S. cerevisiae	MSH2	MutS Homolog	3191	1064	108863.1
S000005451	YOL091W	S. cerevisiae	SPO21	SPOrulation			69891.5
S000005452	YOL092W	S. cerevisiae	YPQ1	Yeast PQ-loop protein	7945	3521	34863.7
S000005453	YOL093W	S. cerevisiae	TRM10	Transfer RNA Methyltransferase	2941	1101	34531
S000005454	YOL094C	S. cerevisiae	RFC4	Replication Factor C	3423	1127	36156.5
S000005455	YOL095C	S. cerevisiae	HMI1	Helicase in MItochondria	671	643	80585.9
S000005456	YOL096C	S. cerevisiae	COQ3	COenzyme Q	1264	323	36329.3
S000005457	YOL097C	S. cerevisiae	WRS1	W (tryptophan) RS (tRNA synthetase)	13281	2646	49347.7
S000005458	YOL098C	S. cerevisiae	SDD3	Suppressor of Degenerative Death	7950	1538	118345.1
S000005459	YOL099C	S. cerevisiae					18353.6
S000005460	YOL100W	S. cerevisiae	PKH2	Pkb-activating Kinase Homolog	515	286	121717
S000005461	YOL101C	S. cerevisiae	IZH4	Implicated in Zinc Homeostasis	1867	1365	36609.9
S000005462	YOL102C	S. cerevisiae	TPT1	tRNA 2'-PhosphoTransferase	2277	563	26203.8
S000005463	YOL103W	S. cerevisiae	ITR2	myo-Inositol TRansporter	1643	718	66715.8
S000005464	YOL104C	S. cerevisiae	NDJ1	NonDisJunction			40857.3
S000005465	YOL105C	S. cerevisiae	WSC3	cell Wall integrity and Stress response Component	3698	2504	58225.5
S000005466	YOL106W	S. cerevisiae					13436.7
S000005467	YOL107W	S. cerevisiae			1904	436	39751.3
S000005468	YOL108C	S. cerevisiae	INO4	INOsitol requiring	915	472	17383.1
S000005469	YOL109W	S. cerevisiae	ZEO1	ZEOcin resistance	52943	34118	12587.1
S000005470	YOL110W	S. cerevisiae	SHR5	Suppressor of Hyperactive Ras	1051	114	26529.9
S000005471	YOL111C	S. cerevisiae	MDY2	Mating-Deficient Yeast	10397	3446	23737.6
S000005472	YOL112W	S. cerevisiae	MSB4	Multicopy Suppression of a Budding defect	1059	464	57083.3
S000005473	YOL113W	S. cerevisiae	SKM1	STE20/PAK homologous Kinase related to Morphogenesis	766	639	75343.1
S000005474	YOL114C	S. cerevisiae	PTH4	peptidyl tRNA hydrolase 4	619	587	23213.4
S000005475	YOL115W	S. cerevisiae	PAP2	Poly(A) Polymerase	2659	411	66007.2
S000005476	YOL116W	S. cerevisiae	MSN1	Multicopy suppressor of SNF1 mutation	612	341	43057
S000005477	YOL117W	S. cerevisiae	RRI2		1320		76360
S000005478	YOL118C	S. cerevisiae					12285.7
S000005479	YOL119C	S. cerevisiae	MCH4	MonoCarboxylate transporter Homolog	317	264	54720.5
S000005480	YOL120C	S. cerevisiae	RPL18A	Ribosomal Protein of the Large subunit	60355	38494	20593.7
S000005481	YOL121C	S. cerevisiae	RPS19A	Ribosomal Protein of the Small subunit	28109	10251	15923.4
S000005482	YOL122C	S. cerevisiae	SMF1	Suppressor of Mitochondria import Function	338	40	63259.4
S000005483	YOL123W	S. cerevisiae	HRP1	Heterogenous nuclear RibonucleoProtein	13717	8354	59641.6
S000005484	YOL124C	S. cerevisiae	TRM11	TRna Methyltransferase	2697	705	50074.3
S000005485	YOL125W	S. cerevisiae	TRM13	TRna Methyltransferase	1492	424	54103.8
S000005486	YOL126C	S. cerevisiae	MDH2	Malate DeHydrogenase	5339	2799	40728.2
S000005487	YOL127W	S. cerevisiae	RPL25	Ribosomal Protein of the Large subunit	75828	49579	15775.9
S000005488	YOL128C	S. cerevisiae	YGK3	Yeast homolog of Glycogen synthase Kinase	705	477	43206
S000005489	YOL129W	S. cerevisiae	VPS68	Vacuolar Protein Sorting	3000	1946	20098.4
S000005490	YOL130W	S. cerevisiae	ALR1	ALuminum Resistance	1312	648	95860.4
S000005491	YOL131W	S. cerevisiae					12419.1
S000005492	YOL132W	S. cerevisiae	GAS4	Glycophospholipid-Anchored Surface protein			53784.8
S000005493	YOL133W	S. cerevisiae	HRT1	High level expression Reduces Ty3 transposition	7964	6251	13936
S000005494	YOL134C	S. cerevisiae					14390.9
S000005495	YOL135C	S. cerevisiae	MED7	MEDiator complex	2473	747	25584.3
S000005496	YOL136C	S. cerevisiae	PFK27	6-PhosphoFructo-2-Kinase	2410		45304.9
S000005497	YOL137W	S. cerevisiae	BSC6	Bypass of Stop Codon	1407	700	55076.8
S000005498	YOL138C	S. cerevisiae	RTC1	Restriction of Telomere Capping	1153	547	149337.6
S000005499	YOL139C	S. cerevisiae	CDC33	Cell Division Cycle	40636	12693	24245.3
S000005500	YOL140W	S. cerevisiae	ARG8	ARGinine requiring	12811	7849	46681.9
S000005501	YOL141W	S. cerevisiae	PPM2	Protein Phosphatase Methyltransferase	1887	450	78954.4
S000005502	YOL142W	S. cerevisiae	RRP40	Ribosomal RNA Processing	4545	1102	26553.6
S000005503	YOL143C	S. cerevisiae	RIB4	RIBoflavin biosynthesis	8812	5552	18552.7
S000005504	YOL144W	S. cerevisiae	NOP8	NucleOlar Protein	4135	1701	56955.2
S000005505	YOL145C	S. cerevisiae	CTR9	Cln Three (CLN3) Requiring	6036	2124	124694.4
S000005506	YOL146W	S. cerevisiae	PSF3	Partner of Sld Five	1612	1286	21944.3
S000005507	YOL147C	S. cerevisiae	PEX11	PEroXin	2836	493	26889.8
S000005508	YOL148C	S. cerevisiae	SPT20	SuPpressor of Ty	2108	896	67816.7
S000005509	YOL149W	S. cerevisiae	DCP1	mRNA DeCaPping	3238	376	26262.6
S000005510	YOL150C	S. cerevisiae					11792.1
S000005511	YOL151W	S. cerevisiae	GRE2	Genes de Respuesta a Estres (stress responsive genes)	9059	5304	38162.8
S000005512	YOL152W	S. cerevisiae	FRE7	Ferric REductase	120		70917
S000005514	YOL154W	S. cerevisiae	ZPS1	Zinc- and pH-regulated Surface protein	8105	5776	27556.2
S000005515	YOL155C	S. cerevisiae	HPF1	Haze Protective Factor	2913	772	94661.3
S000005516	YOL156W	S. cerevisiae	HXT11	HeXose Transporter			62740.3
S000005517	YOL157C	S. cerevisiae	IMA2	IsoMAltase	4575		68606
S000005518	YOL158C	S. cerevisiae	ENB1	ENteroBactin	176	54	66989.4
S000005519	YOL159C	S. cerevisiae	CSS3	Condition Specific Secretion	1150	12	19560.7
S000005520	YOL160W	S. cerevisiae					13511.3
S000005521	YOL161C	S. cerevisiae	PAU20	seriPAUperin	1829		12874.8
S000005522	YOL162W	S. cerevisiae					24494.1
S000005523	YOL163W	S. cerevisiae					19468.2
S000005524	YOL164W	S. cerevisiae	BDS1	Bacterially Derived Sulfatase			72637.3
S000005525	YOL165C	S. cerevisiae	AAD15	Aryl-Alcohol Dehydrogenase	3504		15721.1
S000005526	YOL166C	S. cerevisiae					12939.3
S000005527	YOR001W	S. cerevisiae	RRP6	Ribosomal RNA Processing	2939	988	84036.4
S000005528	YOR002W	S. cerevisiae	ALG6	Asparagine-Linked Glycosylation	2035	892	62798.3
S000005529	YOR003W	S. cerevisiae	YSP3	Yeast Subtilisin-like Protease III	442	270	52069.6
S000005530	YOR004W	S. cerevisiae	UTP23	U Three-associated Protein	3275	489	28828.8
S000005531	YOR005C	S. cerevisiae	DNL4	DNA Ligase	1577	447	108527.8
S000005532	YOR006C	S. cerevisiae	TSR3	Twenty S rRNA accumulation	2652	958	35678.6
S000005533	YOR007C	S. cerevisiae	SGT2	Small Glutamine-rich Tetratricopeptide repeat-containing protein	19147	10264	37200.8
S000005534	YOR008C	S. cerevisiae	SLG1	Synthetic Lethal with Gap	3668	2325	39253.4
S000005535	YOR009W	S. cerevisiae	TIR4	TIp1-Related	1925		47824.2
S000005536	YOR010C	S. cerevisiae	TIR2	TIp1-Related			24613.1
S000005537	YOR011W	S. cerevisiae	AUS1	ABC protein involved in Uptake of Sterols	10541	340	157749.2
S000005538	YOR012W	S. cerevisiae			737	401	15479.7
S000005539	YOR013W	S. cerevisiae	IRC11	Increased Recombination Centers			17883.9
S000005540	YOR014W	S. cerevisiae	RTS1	Rox Three Suppressor	4713	905	85323.6
S000005541	YOR015W	S. cerevisiae					13880.7
S000005542	YOR016C	S. cerevisiae	ERP4	Emp24p/Erv25p Related Protein	4267	1388	23514.2
S000005543	YOR017W	S. cerevisiae	PET127	PETite colonies	1451	618	93433.9
S000005544	YOR018W	S. cerevisiae	ROD1	Resistance to O-Dinitrobenzene	2171	907	92358.5
S000005545	YOR019W	S. cerevisiae			597		83415.3
S000005546	YOR020C	S. cerevisiae	HSP10	Heat Shock Protein	25075	5417	11374.4
S000005547	YOR021C	S. cerevisiae	SFM1	Spout Family Methyltransferase 1	11249	2888	24734.6
S000005548	YOR022C	S. cerevisiae	DDL1	DDHD Domain-containing Lipase	657	344	81769
S000005549	YOR023C	S. cerevisiae	AHC1	Ada Histone acetyltransferase complex Component	754	262	63887.7
S000005550	YOR024W	S. cerevisiae					11882.4
S000005551	YOR025W	S. cerevisiae	HST3	Homolog of SIR Two (SIR2)	2148	1626	50540.8
S000005552	YOR026W	S. cerevisiae	BUB3	Budding Uninhibited by Benzimidazole	1233	213	38437
S000005553	YOR027W	S. cerevisiae	STI1	STress Inducible	50288	11905	66252.8
S000005554	YOR028C	S. cerevisiae	CIN5	Chromosome INstability	1905	135	32987.8
S000005555	YOR029W	S. cerevisiae					12928.4
S000005556	YOR030W	S. cerevisiae	DFG16	Defective for Filamentous Growth	1148		71752.4
S000005558	YOR032C	S. cerevisiae	HMS1	High-copy Mep Suppressor	571		48864.7
S000005559	YOR033C	S. cerevisiae	EXO1	EXOnuclease	140	124	80172.4
S000005560	YOR034C	S. cerevisiae	AKR2	AnKyrin Repeat-containing protein	915	604	85229.7
S000005561	YOR035C	S. cerevisiae	SHE4	Swi5p-dependent HO Expression	2162	789	89538.6
S000005562	YOR036W	S. cerevisiae	PEP12	carboxyPEPtidase Y-deficient	1715	577	32995.6
S000005563	YOR037W	S. cerevisiae	CYC2	CYtochrome C	1354	375	42386.4
S000005564	YOR038C	S. cerevisiae	HIR2	HIstone Regulation	1417	495	98454
S000005565	YOR039W	S. cerevisiae	CKB2	Casein Kinase Beta' subunit	4469	1206	29836.3
S000005566	YOR040W	S. cerevisiae	GLO4	GLyOxalase	1271	510	32339.3
S000005567	YOR041C	S. cerevisiae					15180.3
S000005568	YOR042W	S. cerevisiae	CUE5	Coupling of Ubiquitin conjugation to ER degradation	5731	1150	46834
S000005569	YOR043W	S. cerevisiae	WHI2	WHIskey	3153	985	55336.6
S000005570	YOR044W	S. cerevisiae	IRC23	Increased Recombination Centers	3208	1072	18097.2
S000005571	YOR045W	S. cerevisiae	TOM6	Translocase of the Outer Mitochondrial membrane	3181	1150	6407.6
S000005572	YOR046C	S. cerevisiae	DBP5	Dead Box Protein	11463	3287	53874.5
S000005573	YOR047C	S. cerevisiae	STD1	Suppressor of Tbp Deletion	721	483	50268.5
S000005574	YOR048C	S. cerevisiae	RAT1	Ribonucleic Acid Trafficking	3466	778	115928.3
S000005575	YOR049C	S. cerevisiae	RSB1	Resistance to Sphingoid long-chain Base	1495		40395.9
S000005576	YOR050C	S. cerevisiae					12363.6
S000005577	YOR051C	S. cerevisiae	ETT1	Enhancer of Translation Termination 1	6756	1870	47314.9
S000005578	YOR052C	S. cerevisiae	TMC1	"Trivalent Metalloid sensitive, Cuz1-related protein"	2550	1159	16744.3
S000005579	YOR053W	S. cerevisiae					15293.6
S000005580	YOR054C	S. cerevisiae	VHS3	Viable in a Hal3 Sit4 background	1413	1062	73595.7
S000005581	YOR055W	S. cerevisiae					15628
S000005582	YOR056C	S. cerevisiae	NOB1	Nin1 (One) Binding protein	4495	1493	51747.7
S000005583	YOR057W	S. cerevisiae	SGT1	Suppressor of G2 (Two) allele of skp1	3159	1122	44855.9
S000005584	YOR058C	S. cerevisiae	ASE1	Anaphase Spindle Elongation	844	563	101641.5
S000005585	YOR059C	S. cerevisiae	LPL1	LD phospholipase	1035	575	51116
S000005586	YOR060C	S. cerevisiae	SLD7	Synthetic Lethality with Dpb11-24	1557	823	29568.2
S000005587	YOR061W	S. cerevisiae	CKA2	Casein Kinase Alpha' subunit	6548	1915	39409
S000005588	YOR062C	S. cerevisiae			1615	426	31882.4
S000005589	YOR063W	S. cerevisiae	RPL3	Ribosomal Protein of the Large subunit	95351	30185	43798.5
S000005590	YOR064C	S. cerevisiae	YNG1	Yeast iNG1 homolog	1204	1098	25354.4
S000005591	YOR065W	S. cerevisiae	CYT1	CYTochrome c1	5162	1173	34056.9
S000005592	YOR066W	S. cerevisiae	MSA1	Mbf and Sbf Associated	981	184	68721.4
S000005593	YOR067C	S. cerevisiae	ALG8	Asparagine-Linked Glycosylation	635	398	67409.4
S000005594	YOR068C	S. cerevisiae	VAM10	VAcuolar Morphogenesis			11762.6
S000005595	YOR069W	S. cerevisiae	VPS5	Vacuolar Protein Sorting	3969	1774	76459.9
S000005596	YOR070C	S. cerevisiae	GYP1	Gtpase-activating protein for YPt1p	1514	965	73287.1
S000005597	YOR071C	S. cerevisiae	NRT1	Nicotinamide Riboside Transporter	345	328	67196
S000005598	YOR072W	S. cerevisiae					12148.4
S000005599	YOR073W	S. cerevisiae	SGO1	"ShuGOshin (Japanese for ""guardian spirit"")"	1128		66719.1
S000005600	YOR074C	S. cerevisiae	CDC21	Cell Division Cycle	6322	2936	35046.6
S000005601	YOR075W	S. cerevisiae	UFE1	Unknown Function Essential	1797	642	40529.4
S000005602	YOR076C	S. cerevisiae	SKI7	SuperKIller	2176	780	84780.7
S000005603	YOR077W	S. cerevisiae	RTS2		1768	791	27069.2
S000005604	YOR078W	S. cerevisiae	BUD21	BUD site selection	3083	1067	24383.2
S000005605	YOR079C	S. cerevisiae	ATX2	AnTioXidant	1688		34397.3
S000005606	YOR080W	S. cerevisiae	DIA2	Digs Into Agar			85093
S000005607	YOR081C	S. cerevisiae	TGL5	TriacylGlycerol Lipase	1922	958	84730.9
S000005608	YOR082C	S. cerevisiae					13233.3
S000005609	YOR083W	S. cerevisiae	WHI5	WHIskey	2478	976	32897.7
S000005610	YOR084W	S. cerevisiae	LPX1	Lipase of PeroXisomes	2891	541	43730.5
S000005611	YOR085W	S. cerevisiae	OST3	OligoSaccharylTransferase	4142	2026	39487.6
S000005612	YOR086C	S. cerevisiae	TCB1	Three Calcium and lipid Binding domains (TriCalBins)	8063	3085	133575.1
S000005613	YOR087W	S. cerevisiae	YVC1	Yeast Vacuolar Conductance	2628	817	77937.4
S000005615	YOR089C	S. cerevisiae	VPS21	Vacuolar Protein Sorting	8704	2068	23075.2
S000005616	YOR090C	S. cerevisiae	PTC5	Phosphatase Two C	4875	1411	63674.6
S000005617	YOR091W	S. cerevisiae	TMA46	Translation Machinery Associated	5032	1503	39531.7
S000005618	YOR092W	S. cerevisiae	ECM3	ExtraCellular Mutant	551	496	68019.4
S000005619	YOR093C	S. cerevisiae	CMR2	Changed Mutation Rate	823	575	186931.5
S000005620	YOR094W	S. cerevisiae	ARF3	ADP-Ribosylation Factor	3570	875	20703.4
S000005621	YOR095C	S. cerevisiae	RKI1	Ribose-5-phosphate Ketol-Isomerase	5680	2808	28253.3
S000005622	YOR096W	S. cerevisiae	RPS7A	Ribosomal Protein of the Small subunit	70601	40236	21632.5
S000005623	YOR097C	S. cerevisiae			1013	320	19407.9
S000005624	YOR098C	S. cerevisiae	NUP1	NUclear Pore	3690	964	113615.1
S000005625	YOR099W	S. cerevisiae	KTR1	Kre Two Related	6305	2790	46016.4
S000005626	YOR100C	S. cerevisiae	CRC1	CaRnitine Carrier	603	383	34771.7
S000005627	YOR101W	S. cerevisiae	RAS1	homologous to RAS proto-oncogene	2813	977	34342
S000005628	YOR102W	S. cerevisiae					13306.3
S000005629	YOR103C	S. cerevisiae	OST2	OligoSaccharylTransferase	3771	1405	14704.7
S000005630	YOR104W	S. cerevisiae	PIN2	Psi+ INducibility	1887	654	32080.9
S000005631	YOR105W	S. cerevisiae			2284	1386	12342.2
S000005632	YOR106W	S. cerevisiae	VAM3	VAcuolar Morphogenesis	1394	729	32496
S000005633	YOR107W	S. cerevisiae	RGS2	Regulator of heterotrimeric G protein Signaling	1417		35105.7
S000005634	YOR108W	S. cerevisiae	LEU9	LEUcine biosynthesis	8863	4853	67195.9
S000005635	YOR109W	S. cerevisiae	INP53	INositol polyphosphate 5-Phosphatase	4378	1482	124575.1
S000005636	YOR110W	S. cerevisiae	TFC7		3046	1830	49123.4
S000005637	YOR111W	S. cerevisiae			2521	1420	26464.3
S000005638	YOR112W	S. cerevisiae	CEX1	Cytoplasmic EXport protein	3031	1336	84756.2
S000005639	YOR113W	S. cerevisiae	AZF1	Asparagine-rich Zinc-Finger	1058	768	101169.4
S000005640	YOR114W	S. cerevisiae	DPI34	Delta-Psi dependent mitochondrial Import protein of ~34 kDa	1193		35001.1
S000005641	YOR115C	S. cerevisiae	TRS33	TRapp Subunit	2037	662	30744.5
S000005642	YOR116C	S. cerevisiae	RPO31	RNA POlymerase	5592	1462	162314.5
S000005643	YOR117W	S. cerevisiae	RPT5	"Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase"	16309	2546	48240.3
S000005644	YOR118W	S. cerevisiae	RTC5	Restriction of Telomere Capping	2532	464	64286.1
S000005645	YOR119C	S. cerevisiae	RIO1	RIght Open reading frame	2350	481	56115.8
S000005646	YOR120W	S. cerevisiae	GCY1	Galactose-inducible Crystallin-like Yeast protein	6796	2739	35080.5
S000005647	YOR121C	S. cerevisiae					12390.3
S000005648	YOR122C	S. cerevisiae	PFY1	ProFilin of Yeast	22053	6496	13674.6
S000005649	YOR123C	S. cerevisiae	LEO1	LEft Open reading frame	4325	1172	53849.3
S000005650	YOR124C	S. cerevisiae	UBP2	UBiquitin-specific Protease	3682	2561	146306.7
S000005651	YOR125C	S. cerevisiae	CAT5	CATabolite repression	2298	1164	26061
S000005652	YOR126C	S. cerevisiae	IAH1	Isoamyl Acetate-Hydrolyzing esterase	5186	1675	27340.4
S000005653	YOR127W	S. cerevisiae	RGA1	Rho GTPase Activating Protein	1328	948	112821.9
S000005654	YOR128C	S. cerevisiae	ADE2	ADEnine requiring	12048	3839	62339
S000005655	YOR129C	S. cerevisiae	AFI1	ArF3-Interacting protein	235	229	102240.1
S000005656	YOR130C	S. cerevisiae	ORT1	ORnithine Transporter	2197	1060	31530
S000005657	YOR131C	S. cerevisiae			4045	1986	24837.3
S000005658	YOR132W	S. cerevisiae	VPS17	Vacuolar Protein Sorting	2829	1170	63202.5
S000005659	YOR133W	S. cerevisiae	EFT1	Elongation Factor Two	52464	37029	93279.1
S000005660	YOR134W	S. cerevisiae	BAG7		645	633	46215.9
S000005661	YOR135C	S. cerevisiae	IRC14				12548.2
S000005662	YOR136W	S. cerevisiae	IDH2	Isocitrate DeHydrogenase	18982	8812	39743.9
S000005663	YOR137C	S. cerevisiae	SIA1	Suppressor of eIF5A	206	193	71847.5
S000005664	YOR138C	S. cerevisiae	RUP1	Rsp5-Ubp2 interacting Protein	3867	800	75314.5
S000005665	YOR139C	S. cerevisiae					13600.1
S000005666	YOR140W	S. cerevisiae	SFL1	Suppressor gene for FLocculation	1234	1212	83351.7
S000005667	YOR141C	S. cerevisiae	ARP8	Actin-Related Protein	2961	1715	100148.5
S000005668	YOR142W	S. cerevisiae	LSC1	Ligase of Succinyl-CoA	16382	8052	35035.8
S000005669	YOR143C	S. cerevisiae	THI80	THIamine metabolism	2263	607	36612.4
S000005670	YOR144C	S. cerevisiae	ELG1	Enhanced Level of Genomic instability	1053	171	91257.5
S000005671	YOR145C	S. cerevisiae	PNO1	Partner of NOb1	3896	2581	30335.9
S000005672	YOR146W	S. cerevisiae					10736.8
S000005673	YOR147W	S. cerevisiae	MDM32	Mitochondrial Distribution and Morphology	1638	785	72043.8
S000005674	YOR148C	S. cerevisiae	SPP2	Suppressor of PrP	1012	261	20651.6
S000005675	YOR149C	S. cerevisiae	SMP3	Stable Maintenance of pSRI	773	390	59893
S000005676	YOR150W	S. cerevisiae	MRPL23	"Mitochondrial Ribosomal Protein, Large subunit"	3609	976	18479.8
S000005677	YOR151C	S. cerevisiae	RPB2	RNA Polymerase B	14417	3148	138736
S000005678	YOR152C	S. cerevisiae	ATG40	AuTophaGy related	1890	1228	29685.9
S000005679	YOR153W	S. cerevisiae	PDR5	Pleiotropic Drug Resistance	10371	4608	170444.9
S000005680	YOR154W	S. cerevisiae	SLP1	SUN-Like Protein	1750	910	67435.8
S000005681	YOR155C	S. cerevisiae	ISN1	IMP-Specific 5'-Nucleotidase	3377	2006	51315.4
S000005682	YOR156C	S. cerevisiae	NFI1	Neck Filament Interacting	755	201	81177.1
S000005683	YOR157C	S. cerevisiae	PUP1	PUtative Proteasome subunit	11679	5298	28264.2
S000005684	YOR158W	S. cerevisiae	PET123	PETite colonies	4581	1499	36018.8
S000005685	YOR159C	S. cerevisiae	SME1	Sm protein E	737	413	10373.2
S000005686	YOR160W	S. cerevisiae	MTR10	Mrna TRansport defective	2988	557	110696.8
S000005687	YOR161C	S. cerevisiae	PNS1	pH Nine Sensitive	1274	1236	60257.4
S000005688	YOR162C	S. cerevisiae	YRR1	Yeast Reveromycin-A Resistant	622	404	92475.9
S000005689	YOR163W	S. cerevisiae	DDP1	Diadenosine and Diphosphoinositol Polyphosphate phosphohydrolase	3655	905	21574.8
S000005690	YOR164C	S. cerevisiae	GET4	Guided Entry Tail-anchored proteins	6968	2967	36267.4
S000005691	YOR165W	S. cerevisiae	SEY1	Synthetic Enhancement of YOP1	4191	782	89400
S000005692	YOR166C	S. cerevisiae	SWT1	Synthetically lethal With Trex	1307	300	52355.2
S000005693	YOR167C	S. cerevisiae	RPS28A	Ribosomal Protein of the Small subunit	49393	22983	7597
S000005694	YOR168W	S. cerevisiae	GLN4	GLutamiNe metabolism	18548	5534	93140.8
S000005695	YOR169C	S. cerevisiae					18715.8
S000005696	YOR170W	S. cerevisiae					11579.7
S000005697	YOR171C	S. cerevisiae	LCB4	Long-Chain Base	3101	1352	69633
S000005698	YOR172W	S. cerevisiae	YRM1	Yeast Reveromycin resistance Modulator	267	143	91084.3
S000005699	YOR173W	S. cerevisiae	DCS2	DeCapping Scavenger	6694	3226	40933.8
S000005700	YOR174W	S. cerevisiae	MED4	MEDiator complex	1992	401	32180.1
S000005701	YOR175C	S. cerevisiae	ALE1	Acyltransferase for Lyso-phosphatidylEthanolamine	2998	853	72257.8
S000005702	YOR176W	S. cerevisiae	HEM15	HEMe biosynthesis	8079	4323	44604.6
S000005703	YOR177C	S. cerevisiae	MPC54	Meiotic Plaque Component	1127	299	54360.9
S000005704	YOR178C	S. cerevisiae	GAC1	Glycogen ACcumulation	822	219	88513.4
S000005705	YOR179C	S. cerevisiae	SYC1	Similar to Ysh1 C-terminal	2404	1022	20862
S000005706	YOR180C	S. cerevisiae	DCI1	"delta(3,5)-delta(2,4)-Dienoyl-CoA Isomerase"			30062.2
S000005707	YOR181W	S. cerevisiae	LAS17		2743	1007	67579.6
S000005708	YOR182C	S. cerevisiae	RPS30B	Ribosomal Protein of the Small subunit	48028	11120	7134.7
S000005709	YOR183W	S. cerevisiae	FYV12	Function required for Yeast Viability			14807.7
S000005710	YOR184W	S. cerevisiae	SER1	SERine requiring	25177	8659	43409.9
S000005711	YOR185C	S. cerevisiae	GSP2	Genetic Suppressor of Prp20-1	4228	2047	24988.7
S000005712	YOR186W	S. cerevisiae			1385		16172.6
S000005713	YOR187W	S. cerevisiae	TUF1		14557	6338	47966.7
S000005714	YOR188W	S. cerevisiae	MSB1	Multicopy Suppression of a Budding defect	1616	322	129989.9
S000005715	YOR189W	S. cerevisiae	IES4	Ino Eighty Subunit	3441	558	13086.3
S000005716	YOR190W	S. cerevisiae	SPR1	SPorulation Regulated			51796.8
S000005717	YOR191W	S. cerevisiae	ULS1	Ubiquitin Ligase for SUMO conjugates	1434	507	184408
S000005718	YOR192C	S. cerevisiae	THI72	THI7 homolog 2	1244		67185
S000005719	YOR193W	S. cerevisiae	PEX27	PEroXisome related	451	216	44151.5
S000005720	YOR194C	S. cerevisiae	TOA1		2599	1754	32169
S000005721	YOR195W	S. cerevisiae	SLK19	Synthetic Lethal Kar3p	2875	1871	95325.1
S000005722	YOR196C	S. cerevisiae	LIP5	LIPoic acid	3986	289	46269
S000005723	YOR197W	S. cerevisiae	MCA1	MetaCAspase	5025	2001	47972.9
S000005724	YOR198C	S. cerevisiae	BFR1	BreFeldin A Resistance	33400	10203	54652
S000005725	YOR199W	S. cerevisiae					13232.9
S000005726	YOR200W	S. cerevisiae					14676.5
S000005727	YOR201C	S. cerevisiae	MRM1	Mitochondrial rRNA Methyltransferase	2056	569	46398.8
S000005728	YOR202W	S. cerevisiae	HIS3	HIStidine	1640	530	23826.4
S000005729	YOR203W	S. cerevisiae					14191.7
S000005730	YOR204W	S. cerevisiae	DED1	Defines Essential Domain	25034	5043	65554.7
S000005731	YOR205C	S. cerevisiae	GEP3	GEnetic interactors of Prohibitins	985	524	63878.3
S000005732	YOR206W	S. cerevisiae	NOC2	NucleOlar Complex associated	7496	3410	81608.2
S000005733	YOR207C	S. cerevisiae	RET1	Reduced Efficiency of Termination	4680	1995	129466.2
S000005734	YOR208W	S. cerevisiae	PTP2	Protein Tyrosine Phosphatase	231	137	85891.6
